Duration,Total_Stops,Price,Journey_day,Journey_month,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Airline_Air India,Airline_GoAir,Airline_IndiGo,Airline_Jet Airways,Airline_Jet Airways Business,Airline_Multiple carriers,Airline_Multiple carriers Premium economy,Airline_SpiceJet,Airline_Trujet,Airline_Vistara,Airline_Vistara Premium economy,Source_Chennai,Source_Delhi,Source_Kolkata,Source_Mumbai,Destination_Cochin,Destination_Delhi,Destination_Hyderabad,Destination_Kolkata,Destination_New Delhi
1380,2,13381,12,6,20,15,19,15,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1235,1,12898,27,5,16,0,12,35,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
310,1,19495,6,3,14,10,19,20,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
920,1,6955,21,3,22,0,13,20,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
170,0,3943,3,4,4,0,6,50,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
175,0,4823,1,5,18,55,21,50,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
800,1,7757,6,5,18,55,8,15,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
910,2,13292,9,6,21,25,12,35,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
345,1,8238,1,6,21,50,3,35,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
355,1,7682,15,5,7,0,12,55,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
170,0,4668,18,6,9,45,12,35,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
135,0,3687,15,6,7,5,9,20,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
135,0,3687,18,6,7,5,9,20,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
805,2,13227,1,5,9,50,23,15,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
170,0,4423,6,4,4,0,6,50,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1320,2,10919,15,6,14,35,12,35,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
330,1,12373,18,5,7,5,12,35,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
625,1,5894,27,6,10,35,21,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
315,1,4649,21,5,15,5,20,20,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
150,0,6245,18,5,14,15,16,45,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
375,1,19225,6,3,7,0,13,15,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
715,1,14924,3,6,7,5,19,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
665,1,9646,21,5,7,5,18,10,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
510,1,8714,15,3,6,45,15,15,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1325,1,12373,18,5,20,55,19,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
165,0,3383,6,5,11,10,13,55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
720,1,13062,21,3,9,0,21,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
170,0,3527,24,3,5,45,8,35,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
170,0,3943,27,5,4,0,6,50,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
135,0,4667,3,5,11,40,13,55,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
965,1,6117,15,5,19,0,11,5,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1195,2,11150,27,6,23,5,19,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
195,0,7202,9,3,11,0,14,15,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1520,1,12121,1,5,9,35,10,55,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
170,0,4377,24,3,22,20,1,10,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
180,0,3943,18,6,21,15,0,15,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
170,0,4483,3,4,23,55,2,45,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
975,1,14231,24,3,19,45,12,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
905,2,17345,1,3,8,50,23,55,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
135,0,7414,6,3,7,5,9,20,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
390,1,8073,6,5,19,0,1,30,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1505,1,12395,6,3,15,40,16,45,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False
745,1,8366,6,6,9,25,21,50,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1640,1,5117,3,4,6,5,9,25,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
615,1,12524,3,6,8,45,19,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
630,1,7191,15,5,15,0,1,30,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
135,0,3687,24,5,7,5,9,20,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False
625,1,5894,24,6,10,35,21,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
170,0,5403,24,4,9,45,12,35,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
90,0,3625,6,5,13,55,15,25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
800,2,10861,21,5,5,55,19,15,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
135,0,6297,12,3,13,20,15,35,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
85,0,5678,1,6,7,5,8,30,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1590,1,9134,9,3,5,45,8,15,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
440,1,10791,24,6,11,40,19,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
810,2,12819,24,6,23,5,12,35,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
300,1,6893,21,3,5,5,10,5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
165,0,7240,9,3,9,50,12,35,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True
170,0,3898,3,4,11,40,14,30,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
90,0,4049,3,4,6,25,7,55,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
1145,1,10262,15,6,17,30,12,35,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
135,0,3332,21,3,8,20,10,35,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
890,1,10844,9,6,21,10,12,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
160,0,7229,24,3,19,55,22,35,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1330,1,13941,6,5,6,30,4,40,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
575,1,5894,27,6,11,25,21,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
600,1,10197,18,5,9,0,19,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1280,1,13712,6,3,14,5,11,25,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
325,1,5636,24,6,2,0,7,25,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1125,2,13014,6,6,9,40,4,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
740,1,7064,1,4,8,25,20,45,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1080,1,10703,24,5,20,25,14,25,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
555,1,9646,27,5,13,15,22,30,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
665,1,17057,6,3,2,15,13,20,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1050,1,13817,12,3,16,55,10,25,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
800,2,13748,6,3,5,55,19,15,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
155,0,4880,21,4,20,45,23,20,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
145,0,3540,21,6,5,15,7,40,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
160,0,3257,15,5,5,55,8,35,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
180,0,6478,3,6,19,50,22,50,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
85,0,8040,18,6,7,5,8,30,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
995,2,14300,12,6,20,0,12,35,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
740,1,14781,15,5,8,25,20,45,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
735,1,14939,9,6,20,0,8,15,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
450,1,10262,24,6,20,55,4,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1440,1,6528,12,5,14,35,14,35,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
165,0,6121,1,5,6,10,8,55,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
535,2,13029,18,5,19,30,4,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
430,1,11421,27,3,11,40,18,50,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
870,1,7574,27,3,4,45,19,15,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1820,2,11596,9,5,12,55,19,15,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1195,2,15129,24,5,23,5,19,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
900,1,13555,18,3,14,5,5,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
175,0,5780,12,4,18,55,21,50,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
765,1,9397,12,5,20,20,9,5,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
610,1,17024,6,3,18,15,4,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
355,1,5281,27,6,7,0,12,55,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
925,1,10348,18,5,7,5,22,30,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
965,1,12677,6,3,17,20,9,25,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
610,1,15147,3,3,15,25,1,35,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
160,0,4668,12,6,7,0,9,40,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
715,1,15554,9,5,7,5,19,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
160,0,3971,9,4,5,55,8,35,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
85,0,3100,3,5,15,0,16,25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
845,1,9663,6,5,20,0,10,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1215,1,27430,1,3,23,0,19,15,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
145,0,3540,12,5,5,15,7,40,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
1390,2,10676,21,5,12,0,11,10,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1090,1,13044,12,6,14,5,8,15,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
960,1,14388,6,5,20,0,12,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
170,0,3943,24,6,4,0,6,50,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
140,0,3597,3,6,14,45,17,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
480,1,5932,21,3,11,50,19,50,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1015,1,10262,15,6,11,30,4,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
190,0,6216,12,5,14,40,17,50,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False
165,0,4804,15,6,20,25,23,10,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
840,1,14067,21,5,11,30,1,30,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1430,2,15129,18,5,19,10,19,0,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1300,2,13376,6,6,6,45,4,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1275,2,10441,27,6,22,0,19,15,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
165,0,4030,24,5,6,0,8,45,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
650,1,17024,3,3,8,0,18,50,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
480,1,13017,9,4,17,30,1,30,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
495,1,6686,6,6,23,30,7,45,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
325,1,5636,15,6,2,0,7,25,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
515,1,6442,9,6,7,35,16,10,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
710,1,9486,21,5,13,5,0,55,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1655,1,10844,21,5,20,0,23,35,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
505,2,15318,3,6,20,0,4,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1255,1,5117,3,4,12,30,9,25,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
290,1,6147,24,6,15,10,20,0,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
490,1,7005,9,6,12,50,21,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
140,0,3873,3,4,22,20,0,40,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False
1465,2,9270,21,3,18,25,18,50,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
170,0,3898,27,6,11,40,14,30,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
740,1,14781,12,5,8,25,20,45,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
735,1,8586,24,5,20,0,8,15,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1415,2,10697,9,5,8,20,7,55,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
995,2,14300,27,6,20,0,12,35,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
170,0,8855,3,3,18,55,21,45,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1545,1,10844,12,5,16,30,18,15,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1570,1,17024,6,3,2,15,4,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1730,1,9314,1,5,9,35,14,25,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
165,0,4777,24,3,0,40,3,25,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1515,1,7662,9,6,12,0,13,15,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
560,1,6442,9,5,6,50,16,10,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
270,1,5264,12,6,8,45,13,15,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
925,1,12898,27,5,13,0,4,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
90,0,6092,3,3,13,55,15,25,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
160,0,3311,21,5,5,55,8,35,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False
550,1,6540,27,3,19,15,4,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
165,0,3419,27,5,1,30,4,15,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1355,1,5177,3,4,14,0,12,35,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
185,0,8246,18,4,18,5,21,10,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
690,1,14676,9,6,9,35,21,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
570,1,13587,27,6,11,30,21,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
730,1,9663,6,5,21,10,9,20,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1055,1,13044,12,6,16,30,10,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
305,1,5073,3,4,20,25,1,30,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1550,1,9345,21,5,17,0,18,50,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
1200,1,9663,6,5,14,5,10,5,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
780,1,14277,21,5,8,0,21,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1105,1,10262,1,6,10,0,4,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
90,0,5678,27,3,19,35,21,5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
570,1,13727,15,5,16,0,1,30,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
960,1,9663,6,5,20,0,12,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
140,0,3858,12,5,14,45,17,5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False
270,1,4812,24,6,8,45,13,15,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
345,1,5775,27,6,21,50,3,35,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1450,1,10539,6,6,9,35,9,45,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
155,0,4804,3,6,15,30,18,5,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
165,0,3383,12,6,11,10,13,55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
295,1,8738,3,3,12,10,17,5,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1535,1,7165,27,3,5,15,6,50,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
380,1,6412,24,6,16,10,22,30,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
185,0,8016,27,6,18,55,22,0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1120,1,11087,12,3,20,35,15,15,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
135,0,3543,27,6,9,45,12,0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False
730,1,12471,12,6,16,30,4,40,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1165,1,10262,24,6,9,0,4,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
170,0,4441,18,3,13,20,16,10,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
505,1,12537,27,3,7,5,15,30,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
555,1,10091,24,3,22,25,7,40,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
170,0,6961,3,6,21,5,23,55,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
195,0,5013,24,4,5,35,8,50,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
170,0,6934,18,5,5,10,8,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
740,1,10877,3,6,6,40,19,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
175,0,7229,18,4,15,15,18,10,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
575,1,7048,27,3,16,0,1,35,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
155,0,4878,27,6,17,0,19,35,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False
570,1,10844,21,5,14,5,23,35,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
1760,2,15129,18,5,23,5,4,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
175,0,3943,12,5,0,30,3,25,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
315,1,5583,6,6,6,5,11,20,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False
545,1,9646,6,6,7,5,16,10,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
645,1,7677,3,6,8,30,19,15,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
295,1,6842,1,6,5,10,10,5,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
90,0,4995,24,6,8,45,10,15,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
700,1,9555,9,6,7,10,18,50,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
165,0,4077,1,6,1,30,4,15,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
175,0,7229,12,5,15,15,18,10,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
600,1,12192,9,6,9,0,19,0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
165,0,5911,12,4,10,0,12,45,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
615,1,8372,12,6,9,0,19,15,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
85,0,4995,18,3,7,10,8,35,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False
555,1,14323,9,5,10,0,19,15,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1375,2,13014,9,6,5,30,4,25,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
1730,2,13591,6,6,14,25,19,15,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
2245,2,18799,3,3,5,25,18,50,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False
